Rank,Domain,Banning Authority,Locale,Type of site,Subcategory,Date blocked
-1,curresliyyxwptzfa.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/9/22
-1,curresslhmhljlrbn.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/20/22
-1,curretjsnbkfvzfjg.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/19/22
-1,currevkhxuznfjrjw.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/10/22
-1,d19wbtacbn3uyf.cloudfront.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/16/22
-1,d1e07yfhbnt19a.cloudfront.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/20/22
-1,d1i0x9ba5f8wie.cloudfront.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/16/22
-1,d1m5cmfzhzal16.cloudfront.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/15/22
-1,d1skb59ee4i7sb.cloudfront.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/20/22
-1,d1wbdcdiv64tdr.cloudfront.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/20/22
-1,d223mwtd2a7xlo.cloudfront.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/16/22
-1,d25bh4oktz2liy.cloudfront.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/20/22
-1,d2ddbkosq2lpph.cloudfront.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/20/22
-1,d2hccvu0etcwe9.cloudfront.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/15/22
-1,d2jx7g6yn7kui6.cloudfront.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/20/22
-1,d2kye8h1h472wn.cloudfront.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/16/22
-1,d2ogi6osw4qwig.cloudfront.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/20/22
-1,d2thzhogzhbdec.cloudfront.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/7/22
-1,d30eg3z2ssmyki.cloudfront.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/20/22
-1,d3ibhczdontpg1.cloudfront.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/15/22
-1,d3ui04hj4a2czv.cloudfront.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/12/22
-1,deayx2429jm6o.cloudfront.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/20/22
-1,dluic5bxfqham.cloudfront.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/16/22
-1,ekhokcusurjbpsmym.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/17/22
-1,ekhokjnavjnrolklt.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/11/22
-1,ekhokmfjrwdgwudcv.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/18/22
-1,ekhoknrimitupjzul.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/6/22
-1,ekhokoiblvnmzygij.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/12/22
-1,ekhokqznqytqzjsii.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/19/22
-1,ekhoksxpubzlqbyms.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/10/22
-1,ekhokvvapykqvanla.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/9/22
-1,ekhokzewwjqthbhlm.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/5/22
-1,ekhokzxjyiehkyhak.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/20/22
-1,ekhokzypczibiybqq.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/8/22
-1,factodbnieysrjzyv.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/12/22
-1,factoekcihrrvzoqy.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/19/22
-1,factoeovukechljod.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/6/22
-1,factoesuytrnswyfq.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/9/22
-1,factoltjtsxtebkbf.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/18/22
-1,factopbdjrymtxopt.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/17/22
-1,factoprbecouzoouj.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/20/22
-1,factoyvjuvnyovrxs.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/5/22
-1,factozntougbdkkjs.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/10/22
-1,factozwtggzwijrzf.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/8/22
-1,golosdwcwxpcgeici.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (VOA),7/5/22
-1,goloshldwkttytomn.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (VOA),7/19/22
-1,goloszvheqmpcfves.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (VOA),7/20/22
-1,idelreqnmddnhpiyy.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/18/22
-1,idelrhaqffyvzubkm.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/12/22
-1,idelrlwyoydfvnkoj.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/5/22
-1,idelrofapeuqnikvs.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/10/22
-1,idelrojfvejkxzpse.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/6/22
-1,idelrqkidmpwvdree.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/19/22
-1,idelrrbeljyhgpchb.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/20/22
-1,idelrsxdajfszpdgj.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/9/22
-1,idelrwatwjkorqnrq.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/17/22
-1,idelrwhplthpcvjbc.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/8/22
-1,istorfmqtymjxxbmh.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/11/22
-1,istorgncrkouggeyo.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/20/22
-1,istoritdqcjqwbpus.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/10/22
-1,istorkatvhkxjgpnq.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/12/22
-1,istorkoudfnvmfcew.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/6/22
-1,istorkvsjwxstjwma.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/19/22
-1,istorpsraawfgboic.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/8/22
-1,istorsdrqukhszxrs.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/18/22
-1,kavkafqsdadlbkezd.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/18/22
-1,kavkaicvqodpbcrfe.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/10/22
-1,kavkajhtkcgwynlya.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/17/22
-1,kavkakejyqcktzakp.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/12/22
-1,kavkakuvtoexasklr.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/5/22
-1,kavkaoylczaqlqtqv.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/20/22
-1,kavkapbuklqdeokib.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/19/22
-1,kavkaqmdptuxyjlwu.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/11/22
-1,kavkawztzhejualpm.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/9/22
-1,kavkaybmilhrdwuwp.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/8/22
-1,kavkayvzrdciomalt.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/6/22
-1,krymrauoscphrlcne.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/11/22
-1,krymrawtihhchgnex.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/17/22
-1,krymrbmldkxitdpoa.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/20/22
-1,krymrezkwgzipgohn.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/8/22
-1,krymrfaoitysuxsno.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/18/22
-1,krymrnxqqhahrczyi.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/5/22
-1,krymroicxkwkhqfdj.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/9/22
-1,krymrpkgnypwwuyim.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/12/22
-1,krymrtyfexcoxhhqh.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/19/22
-1,krymrubmcmopgsoty.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/6/22
-1,krymryajberswzoay.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/10/22
-1,radiocxcexhqwbzys.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/18/22
-1,radioeuwmqkomeqzm.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/10/22
-1,radiofdauawopkspd.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/5/22
-1,radiogyymqtociyby.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/20/22
