Rank,Domain,Banning Authority,Locale,Type of site,Subcategory,Date blocked
-1,agentqkleawacpzqb.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),3/7/22
-1,agentwrozjtpfnfve.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),2/7/22
-1,agentzcoaxadzliof.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/22/22
-1,agentzmoppsgdvqte.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/26/22
-1,azatlcitnedqhpdcm.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),3/7/22
-1,azatlgybxyktcrayo.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/24/22
-1,azatljfziosaachat.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/25/22
-1,azatljxgaosihprjt.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/23/22
-1,azatloyiuadctamft.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),6/28/22
-1,azatlrswryiqidcjd.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),3/6/22
-1,azatltpmrububblkx.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),2/7/22
