Rank,Domain,Banning Authority,Locale,Type of site,Subcategory,Date blocked
364563,tvgid.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,4/24/22
365201,helpukrainenow.info,Office of the Prosecutor General,Unknown,Digital Resistance,Appeals,5/30/22
367399,ban-dera.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Hacking,4/4/22
369740,partisan.live,Office of the Prosecutor General,Russia,Digital Resistance,Activism,8/3/22
370046,lita.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/23/22
374155,inweb.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,4/22/22
377098,wasterussiantime.today,Office of the Prosecutor General,International,Digital Resistance,Appeals,6/24/22
377796,fructcode.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,7/3/22
378400,pulscen.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/19/22
379327,lenta.blog,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,5/6/22
383412,buki-repetitor.ru,Office of the Prosecutor General,Russia,Digital Resistance,Ukraine Support Content,9/6/22
383597,moscow1206.com,Office of the Prosecutor General,Russia,Digital Resistance,Russian Dissidents,6/18/22
384844,zastansyadoma.info,Office of the Prosecutor General,Belarus,Digital Resistance,Counter-propaganda,3/10/22
385735,ru-war-true.info,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/9/22
388249,greenbelarus.info,Office of the Prosecutor General,Belarus,Digital Resistance,Critical Content,3/21/22
392987,ostanovivagony.info,Office of the Prosecutor General,Russia,Digital Resistance,Russian Dissidents,4/23/22
393351,koloua.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Fundraising,7/29/22
396374,onex.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/19/22
398423,lenta.vn.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,4/6/22
398832,activatica.org,Office of the Prosecutor General,International,Digital Resistance,Activism,4/22/22
407751,pekelnitachky.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Fundraising,4/28/22
408218,prizyv2022.info,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,2/4/22
408690,wings-phoenix.org.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Fundraising,4/19/22
410498,mamapover.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Appeals,3/7/22
412919,yanerusskiy.info,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,3/13/22
415469,disbalancer.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Hacking,4/19/22
416147,antiwarcommittee.info,Office of the Prosecutor General,Russia,Digital Resistance,Russian Dissidents,3/27/22
416179,dead-russian.in.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,6/24/22
417301,agrovektor.ru,Office of the Prosecutor General,Russia,Digital Resistance,Ukraine Support Content,3/25/22
421429,leleka.care,Office of the Prosecutor General,United States,Digital Resistance,Fundraising,4/19/22
423194,uzhasyvojny.info,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,4/6/22
426134,truewar.io,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,4/22/22
430206,nurembergtrials20.info,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,5/26/22
435452,cz200.info,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,6/23/22
437398,ria-novosti.online,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/13/22
438161,stopputin.in.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/5/22
439055,rabotenka.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
439317,ria-today.agency,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/13/22
439374,ria-politika.online,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/13/22
439419,indiecup.net,Office of the Prosecutor General,Unknown,Digital Resistance,Ukraine Support Content,4/18/22
440897,notourwar.info,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,3/27/22
442844,ljrate.ru,Office of the Prosecutor General,Russia,Digital Resistance,Critical Content,7/25/22
445131,agu-agu.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
445492,dbm-wood.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
447299,gde-moi-deti.live,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,5/29/22
449195,gdemoideti.live,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,7/8/22
450213,ligaconsult.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
