0 0 0
1 0.083770 156
2 0.156296 221
3 0.213750 374
4 0.245681 412
5 0.271551 447
6 0.295740 468
7 0.306936 603
8 0.317427 616
9 0.326876 622
10 0.334531 637
11 0.341778 639
12 0.347449 647
13 0.351860 648
14 0.356059 652
15 0.359894 670
16 0.363243 689
17 0.366520 692
18 0.369733 695
19 0.372191 698
20 0.374629 705
21 0.376806 710
22 0.378728 711
23 0.380650 713
24 0.382572 715
25 0.384441 722
26 0.386143 726
27 0.387790 730
28 0.389429 732
29 0.390881 735
30 0.392141 736
31 0.393380 740
32 0.394589 742
33 0.395786 743
34 0.396959 751
35 0.397999 752
36 0.398944 753
37 0.399801 755
38 0.400620 756
39 0.401439 757
40 0.402227 758
41 0.402951 759
42 0.403666 761
43 0.404297 762
44 0.404895 763
45 0.405481 765
46 0.406048 766
47 0.406578 771
48 0.407082 772
49 0.407554 773
50 0.408011 777
51 0.408421 778
52 0.408799 779
53 0.409177 780
54 0.409523 781
55 0.409870 782
56 0.410185 783
57 0.410499 785
58 0.410783 786
59 0.411063 787
60 0.411303 788
61 0.411539 789
62 0.411772 790
63 0.411917 792
64 0.412056 793
65 0.412188 795
66 0.412306 797
67 0.412419 798
68 0.412533 799
69 0.412643 800
70 0.412750 801
71 0.412857 802
72 0.412964 803
73 0.413056 804
74 0.413135 806
75 0.413195 807
76 0.413253 809
77 0.413310 810
78 0.413357 811
79 0.413402 813
80 0.413437 814
81 0.413469 815
82 0.413497 816
83 0.413525 817
84 0.413549 818
85 0.413572 819
86 0.413595 820
87 0.413613 821
88 0.413628 823
89 0.413643 824
90 0.413655 825
91 0.413666 826
92 0.413675 827
93 0.413683 828
94 0.413688 830
95 0.413693 831
96 0.413696 832
97 0.413698 833
98 0.413699 834
99 0.413700 835
100 0.413700 836
101 0.413700 837
